population,YEAR,SESSION,lag_days,autocorrelation,pairs,periods
All CMAT,2019.0,OTONO,14,0.011379988791385284,141,1
All CMAT,2019.0,OTONO,15,0.057655575067336186,140,1
All CMAT,2019.0,OTONO,16,0.11316366058285696,139,1
All CMAT,2019.0,OTONO,17,0.09134027323150228,138,1
All CMAT,2019.0,OTONO,18,0.0640328276880584,137,1
All CMAT,2019.0,OTONO,19,0.04348189485156069,136,1
All CMAT,2019.0,OTONO,20,0.03448010998929763,135,1
All CMAT,2019.0,OTONO,21,-0.07770171374373455,134,1
All CMAT,2019.0,OTONO,22,-0.07671245441700113,133,1
All CMAT,2019.0,OTONO,23,-0.21035326934874185,132,1
All CMAT,2019.0,OTONO,24,-0.21903155561590026,131,1
All CMAT,2019.0,OTONO,25,-0.1576041007157012,130,1
All CMAT,2019.0,OTONO,26,-0.056374515600241974,129,1
All CMAT,2019.0,OTONO,27,-0.013014113989345114,128,1
All CMAT,2019.0,OTONO,28,0.0421185928758251,127,1
All CMAT,2019.0,OTONO,29,0.11994768269567677,126,1
All CMAT,2019.0,OTONO,30,0.42188128540453484,125,1
All CMAT,2019.0,OTONO,31,0.4040848450847209,124,1
All CMAT,2019.0,OTONO,32,0.069628599099511,123,1
All CMAT,2019.0,OTONO,33,-0.07543288542918353,122,1
All CMAT,2019.0,OTONO,34,0.013205072981264476,121,1
All CMAT,2019.0,OTONO,35,-0.07449348749542976,120,1
All CMAT,2019.0,OTONO,36,-0.13695299750503057,119,1
All CMAT,2019.0,OTONO,37,-0.18807761609878065,118,1
All CMAT,2019.0,OTONO,38,-0.14597682895318215,117,1
All CMAT,2019.0,OTONO,39,-0.22554904469234185,116,1
All CMAT,2019.0,OTONO,40,-0.17904341881106603,115,1
All CMAT,2019.0,OTONO,41,-0.10872585927476708,114,1
All CMAT,2019.0,OTONO,42,-0.08174387134301343,113,1
All CMAT,2019.0,OTONO,43,-0.048628975572956486,112,1
All CMAT,2019.0,OTONO,44,0.06436299312034247,111,1
All CMAT,2019.0,OTONO,45,0.1295964433107619,110,1
All CMAT,2020.0,OTONO,14,0.04306567010069133,149,1
All CMAT,2020.0,OTONO,15,0.06477450035753955,148,1
All CMAT,2020.0,OTONO,16,-0.022643215851985928,147,1
All CMAT,2020.0,OTONO,17,0.014016393042446812,146,1
All CMAT,2020.0,OTONO,18,0.05612389190526883,145,1
All CMAT,2020.0,OTONO,19,-0.0056757744432192735,144,1
All CMAT,2020.0,OTONO,20,-0.029877093048434587,143,1
All CMAT,2020.0,OTONO,21,0.052776387963344724,142,1
All CMAT,2020.0,OTONO,22,-0.00637429870909568,141,1
All CMAT,2020.0,OTONO,23,-0.02730411252268282,140,1
All CMAT,2020.0,OTONO,24,0.062465152334811036,139,1
